Title,Premiere Date,Year,People who want to see
Mulan ,11 września,21 570,2020
King's Man: Pierwsza misja ,18 września,12 153,2020
25 lat niewinności. Sprawa Tomka Komendy ,18 września,2 661,2020
After 2 ,11 września,2 289,2020
Pinokio ,11 września,2 052,2019
Greenland ,25 września,1 667,2020
Niedosyt ,25 września,1 215,2019
Pętla ,4 września,1 046,2020
A potem tańczyliśmy ,25 września,1 031,2019
Zieja ,28 sierpnia,951,2020
Ema ,11 września,887,2019
Daleko od Reykjavíku ,4 września,719,2019
Brazylijczycy ,11 września,560,2017
Przesłuchanie ,4 września,558,2019
Najgorsze wiersze świata ,4 września,468,2018
Nadzieja ,25 września,443,2019
Interior ,18 września,347,2019
Pod powierzchnią ,28 sierpnia,339,2020
Słynny najazd niedźwiedzi na Sycylię ,11 września,257,2019
Galeria złamanych serc ,25 września,197,2020
The Beatles: Get Back ,4 września,191,2020
Tarapaty 2 ,25 września,151,2020
Małe szczęścia ,18 września,138,2020
I zbaw nas ode złego ,18 września,118,2020
Złotokap ,28 sierpnia,116,2020
Jak najdalej stąd ,25 września,85,2020
La Bolduc ,28 sierpnia,57,2018
"Pettson i Findus – mały kłopot, wielka przyjaźń ",28 sierpnia,23,2014
Operacja Islandia ,28 sierpnia,15,2018
Vitello ,4 września,10,2018
Magiczne muzeum ,18 września,7,2017
